station_name,place_name,bar,dog_park,restaurant,distance,place_latitude,place_longitude,station_latitude,station_longitude,slots,free_bikes,empty_slots,place_rating
Glasgow Kelvin College East,The Alexandra,1.0,0.0,0.0,735.6846994062172,55.8582739,-4.2146267,55.857858,-4.203123,10,1,9,4.0
Scotstoun South,Bar G's,1.0,0.0,0.0,564.2468551679545,55.8725672,-4.3352167,55.875431,-4.342325,12,9,1,0.0
Scotstoun South,McNabbs Lounge Bar,1.0,0.0,0.0,836.5004281360281,55.8801443,-4.3527772,55.875431,-4.342325,12,9,1,0.0
"University Hospital, Queen Eliza",The Amethyst,1.0,0.0,0.0,607.2724917476729,55.864131,-4.332248,55.862838,-4.341885,8,7,1,3.3
"University Hospital, Queen Eliza",Vital Spark,1.0,0.0,0.0,748.9988615971712,55.8640782,-4.3300868,55.862838,-4.341885,8,7,1,0.0
Pollokshaws West Railway Station,Loks Bar & Kitchen,1.0,0.0,0.0,741.161349005431,55.8234933097088,-4.28808213809816,55.824907,-4.299678,10,2,8,3.8
Pollokshaws West Railway Station,The Burrell,1.0,0.0,0.0,391.2246784783143,55.827564,-4.295572,55.824907,-4.299678,10,2,8,2.9
Pollokshaws West Railway Station,Sir John Stirling Maxwell,1.0,0.0,0.0,972.2442694027372,55.8275263,-4.2846221,55.824907,-4.299678,10,2,8,2.8
Pollokshaws West Railway Station,The Quaich,1.0,0.0,0.0,759.0807076039683,55.8254852,-4.2876329,55.824907,-4.299678,10,2,8,2.2
Kelvinhall Subway,Let Petit Cochon,1.0,0.0,0.0,860.4769361251095,55.8666062535929,-4.28914021700621,55.870857,-4.300665,6,3,3,5.0
St George's Cross - ELECTRIC,Q Club,0.0,0.0,1.0,363.9475990089417,55.8683957,-4.270677,55.871367,-4.269117,4,3,3,4.6
Possil Health Centre (Saracen Street) - ELECTRIC,Tower Bar,1.0,0.0,0.0,891.026260759071,55.87448,-4.26137,55.881493,-4.254465,8,3,5,2.5
Glasgow Science Centre,The Strip Joint,1.0,0.0,0.0,992.254274535777,55.86353,-4.279838,55.8585,-4.292972,10,5,5,4.6
People's Palace,The Old Ship Bank,1.0,0.0,0.0,620.9573534077157,55.8546461,-4.2458738,55.852086,-4.237032,10,2,8,5.0
People's Palace,Babbity Bowster,1.0,0.0,0.0,805.2870694868799,55.8585796981296,-4.24274442085857,55.852086,-4.237032,10,2,8,4.2
Maryhill Library,Rams Head,1.0,0.0,0.0,895.2033973740658,55.8971737,-4.3002876,55.891127,-4.290879,8,0,8,3.3
Maryhill Library,Frampton's Night Clubs,1.0,0.0,0.0,536.8074611305583,55.88727,-4.2853199,55.891127,-4.290879,8,0,8,3.0
Maryhill Library,The Lockhouse Bar & Restaurant,1.0,0.0,0.0,159.1242268552097,55.890226,-4.289914,55.891127,-4.290879,8,0,8,3.0
Maryhill Library,Viking Bar,1.0,0.0,0.0,618.6923326508303,55.8868581,-4.2844747,55.891127,-4.290879,8,0,8,2.4
Cessnock Subway Station - ELECTRIC,The Louden Tavern: Ibrox Stadium,1.0,0.0,0.0,657.8806283924428,55.854533627674,-4.30402891216114,55.85196,-4.294538,10,4,4,2.8
Cessnock Subway Station - ELECTRIC,The Kensington,1.0,0.0,0.0,163.20526599229578,55.8516883,-4.2971099,55.85196,-4.294538,10,4,4,2.7
Cessnock Subway Station - ELECTRIC,District Bar,1.0,0.0,0.0,319.8354849657643,55.8523847,-4.289513,55.85196,-4.294538,10,4,4,2.5
Cessnock Subway Station - ELECTRIC,The Bellrock,1.0,0.0,0.0,451.24623342102905,55.84841,-4.286862,55.85196,-4.294538,10,4,4,2.4
CoMo Pop up hub (temp),Minnesota Fats,0.0,0.0,1.0,187.988322785814,55.826894,-4.258136,55.82533,-4.257,1,2,0,5.0
CoMo Pop up hub (temp),Barbarossa Restaurant,1.0,0.0,0.0,897.5464386430037,55.8176788199226,-4.26157795687756,55.82533,-4.257,1,2,0,4.0
CoMo Pop up hub (temp),Clockwork Beer Co,1.0,0.0,0.0,272.61600590032015,55.823118,-4.258699,55.82533,-4.257,1,2,0,3.5
CoMo Pop up hub (temp),Armstrong's,1.0,0.0,0.0,555.3937241780939,55.8264381,-4.2654503,55.82533,-4.257,1,2,0,3.3
