id,name,bar,dog_park,restaurant,distance,latitude,longitude,rating,station_id
88c9be1f92544fa60b77c200,Harlequin Restaurants,0,0,1,811.0,55.871498,-4.313247,,066c99293af108ece27d9b0436c30cc4
4d83cc955e70224b157aff08,University Takeaway,0,0,1,814.0,55.871544,-4.297717,,066c99293af108ece27d9b0436c30cc4
4d1a69cbc5f5b1f7a197d336,China Red,0,0,1,821.0,55.870916,-4.315122,,066c99293af108ece27d9b0436c30cc4
50704149e4b06e5e717947ce,No 13 Cafe,0,0,1,823.0,55.864121,-4.318764,,066c99293af108ece27d9b0436c30cc4
5334373dd4d24eb2b974f5f5,West End Fish Bar,0,0,1,825.0,55.867264,-4.292431,,066c99293af108ece27d9b0436c30cc4
53ac72a4498e9f7cea634c03,The Real McCoy,1,0,0,331.0,55.848007,-4.202229,,0a106cbc148d5a0c2535b51c1dbe3b4d
4c0bcd09a1b32d7f6a809bf0,KFC,0,0,1,824.0,55.853573,-4.19973,,0a106cbc148d5a0c2535b51c1dbe3b4d
1c750ae23ba2488af7de36de,The Belvidere,0,0,1,12.0,55.846496,-4.197282,,0a106cbc148d5a0c2535b51c1dbe3b4d
b6f0b3e6239d454bb9f9581a,Piri Grill,0,0,1,14.0,55.84655,-4.197249,,0a106cbc148d5a0c2535b51c1dbe3b4d
4d39b7e71fc36dcb44465ef5,Ruby,0,0,1,247.0,55.851688,-4.192076,,0a106cbc148d5a0c2535b51c1dbe3b4d
58737b23d60c8b34547b7639,Rab Haws Kitchens,0,0,1,258.0,55.847911,-4.198339,,0a106cbc148d5a0c2535b51c1dbe3b4d
4ed0f9ec29c223f92981ec99,Celtic FC Supporters Association Social Club,1,0,0,269.0,55.844702,-4.194534,,0a106cbc148d5a0c2535b51c1dbe3b4d
50b0d45fe4b05083bfcf50ff,Turnstyles,1,0,0,418.0,55.848027,-4.203735,,0a106cbc148d5a0c2535b51c1dbe3b4d
e0d8f21333a947b1ee9a0120,A J's Cafe,0,0,1,485.0,55.850857,-4.196534,,0a106cbc148d5a0c2535b51c1dbe3b4d
66eb0778eeab4ef7287636c5,Lentil Cafe,0,0,1,508.0,55.851054,-4.198641,,0a106cbc148d5a0c2535b51c1dbe3b4d
6b9b41c33af747e8130058fe,Kadir Fish & Chips,0,0,1,566.0,55.851605,-4.198202,,0a106cbc148d5a0c2535b51c1dbe3b4d
914ab77689254be700e0f74d,Second Wife Kitchen,0,0,1,571.0,55.851547,-4.195504,,0a106cbc148d5a0c2535b51c1dbe3b4d
4e60f246d4c06542aa473441,Five Ways,0,0,1,576.0,55.85166,-4.198168,,0a106cbc148d5a0c2535b51c1dbe3b4d
a1a40d96b2244e3e0dc96917,Anchor Bar Public House,1,0,0,589.0,55.851794,-4.198593,,0a106cbc148d5a0c2535b51c1dbe3b4d
5c831adb35f983002c95a570,Apocom Kitchen,0,0,1,589.0,55.851788,-4.198698,,0a106cbc148d5a0c2535b51c1dbe3b4d
529a3eb0498e496640cb0eef,Walfrid Restaurant,0,0,1,592.0,55.849291,-4.205593,,0a106cbc148d5a0c2535b51c1dbe3b4d
5001c3d8e4b0d8ae05fde135,Star Fish Bar,0,0,1,594.0,55.850473,-4.1912,,0a106cbc148d5a0c2535b51c1dbe3b4d
4d9618be0caaa1430ae96eb3,Peking Chinese Take Away,0,0,1,597.0,55.851879,-4.198945,,0a106cbc148d5a0c2535b51c1dbe3b4d
23924b1b21b844fb005198d3,Number 7 Restaurant,0,0,1,667.0,55.849729,-4.206236,,0a106cbc148d5a0c2535b51c1dbe3b4d
4e68afe7b0fb8e94c7e2f312,Bensons Cafe,0,0,1,702.0,55.852849,-4.198553,,0a106cbc148d5a0c2535b51c1dbe3b4d
54f407b3498e59d21290e8e7,Seoul Korean Cuisine,0,0,1,750.0,55.853209,-4.19965,,0a106cbc148d5a0c2535b51c1dbe3b4d
5dc805ba70733c0008486c50,Cafe Deja Vu,0,0,1,782.0,55.852951,-4.202339,,0a106cbc148d5a0c2535b51c1dbe3b4d
510fea3fe4b04cfd4113597d,McChans,0,0,1,786.0,55.85344,-4.200217,,0a106cbc148d5a0c2535b51c1dbe3b4d
bf469d2c16054aa730d14287,Wok This Way,0,0,1,817.0,55.853804,-4.19564,,0a106cbc148d5a0c2535b51c1dbe3b4d
6b0cd120afb843008c598172,S K Cuisine,0,0,1,834.0,55.85402,-4.198343,,0a106cbc148d5a0c2535b51c1dbe3b4d
4cd3d54108f48cfa748ba285,Beardmore Park,0,1,0,940.0,55.8527,-4.187203,,0a106cbc148d5a0c2535b51c1dbe3b4d
095c2d0e709c45e3025eed52,Freddys Food Club,0,0,1,354.0,55.847934,-4.202577,,0a106cbc148d5a0c2535b51c1dbe3b4d
bcb21447f78d4df3fb84ba40,Hurry curry,0,0,1,569.0,55.851541,-4.195609,,0a106cbc148d5a0c2535b51c1dbe3b4d
df8f0b40f77d4a934722d96f,Delhi Bites,0,0,1,584.0,55.851656,-4.195437,,0a106cbc148d5a0c2535b51c1dbe3b4d
1028965b65f742b7622ac10c,The Celtic Football and Athletic Company Limited,0,0,1,638.0,55.849631,-4.206094,,0a106cbc148d5a0c2535b51c1dbe3b4d
e259dd8d1bf44016b98652f3,LING HING Chinese take away,0,0,1,662.0,55.851639,-4.192005,,0a106cbc148d5a0c2535b51c1dbe3b4d
2f52b404126f4b182789eade,Baguette Express,0,0,1,790.0,55.853512,-4.199869,,0a106cbc148d5a0c2535b51c1dbe3b4d
511a8368e4b0acbffb5168d0,The Bell's,1,0,0,113.0,55.843776,-4.174551,,0cc8c09950e1435ee7782478ed292fef
6c255a2b3bb84b43cc041420,Buffet King,0,0,1,137.0,55.844018,-4.173997,,0cc8c09950e1435ee7782478ed292fef
e629b0fced8c43c005af6493,The Sizzler,0,0,1,256.0,55.843645,-4.172201,,0cc8c09950e1435ee7782478ed292fef
4e4c09e66284a0b024baff9f,Captain Ruby's,0,0,1,286.0,55.843566,-4.171744,,0cc8c09950e1435ee7782478ed292fef
4f7ddc71e4b0a665d24a18d3,The Kimberley,1,0,0,379.0,55.843376,-4.170443,,0cc8c09950e1435ee7782478ed292fef
5c1bf4b2aa6c95002c65f8c4,Captain's Kitchen,0,0,1,397.0,55.84329,-4.170091,,0cc8c09950e1435ee7782478ed292fef
4c55b21130f92d7f241693bc,Ruby Murrys,0,0,1,591.0,55.84329,-4.170091,,0cc8c09950e1435ee7782478ed292fef
6ea78be01a1f4a58b65a9e29,Eden Mill Brewery,0,0,1,709.0,55.837889,-4.177147,,0cc8c09950e1435ee7782478ed292fef
85a6cc0b011f4aebac57d2a3,Shanghai Supplies,0,0,1,742.0,55.847184,-4.165476,,0cc8c09950e1435ee7782478ed292fef
617c57316aa49453aaa80d11,Palaceum Bar,1,0,0,824.0,55.851683,-4.176284,,0cc8c09950e1435ee7782478ed292fef
550dbe38498eb9b173ba2d2c,Lucky Way Chinese Carry Out,0,0,1,853.0,55.851819,-4.173872,,0cc8c09950e1435ee7782478ed292fef
4d3049b9a241f04dbad2b227,The Town Tavern,1,0,0,870.0,55.852155,-4.175387,,0cc8c09950e1435ee7782478ed292fef
5f60eced0ed4c262cbc42c75,Nello’s,0,0,1,895.0,55.851868,-4.170197,,0cc8c09950e1435ee7782478ed292fef
53636455498e1736912e18df,Chippyland,0,0,1,927.0,55.851526,-4.168786,,0cc8c09950e1435ee7782478ed292fef
4c556601fd2ea593db22a92b,Orion Way Table Table,1,0,0,997.0,55.836046,-4.169673,,0cc8c09950e1435ee7782478ed292fef
f4b9438f84194446ae632e6a,Cafe olive tollcross,0,0,1,664.0,55.842792,-4.165841,,0cc8c09950e1435ee7782478ed292fef
3829f28eeca648b9e96f3f6b,Gantry Bar,1,0,0,886.0,55.852061,-4.173318,,0cc8c09950e1435ee7782478ed292fef
e1ca1c53834e4d38118c09e1,KFC Glasgow London Road Dt,0,0,1,944.0,55.83664,-4.16941,,0cc8c09950e1435ee7782478ed292fef
0ce373089faf4ffaf24009a0,Kfc London Road,0,0,1,947.0,55.836579,-4.169548,,0cc8c09950e1435ee7782478ed292fef
5515b46c498edbb34c84b689,Cook & Indi's World Buffet,0,0,1,888.0,55.853525,-4.27196,,0e94d2ad012bff0cf23497963ff5fd77
4c812e6747cc224ba8af799f,Istanbul Turkish,0,0,1,929.0,55.85373,-4.27943,,0e94d2ad012bff0cf23497963ff5fd77
5597fed9498e6d42e6120ea3,Don Cazcabel,1,0,0,945.0,55.837268,-4.272478,,0e94d2ad012bff0cf23497963ff5fd77
4b7c4dd1f964a520068b2fe3,Burger King,0,0,1,952.0,55.854327,-4.273597,,0e94d2ad012bff0cf23497963ff5fd77
4f08808be4b07c8f8c299637,Sugar Rush,1,0,0,438.0,55.844602,-4.268604,,0e94d2ad012bff0cf23497963ff5fd77
6eaa13dcc4144b81503d6190,Jay's Gelato,0,0,1,31.0,55.845614,-4.274871,,0e94d2ad012bff0cf23497963ff5fd77
4d03dacf7d9ba35d22666223,Pizza Hub,0,0,1,411.0,55.842378,-4.272494,,0e94d2ad012bff0cf23497963ff5fd77
51d86c8a498e32f14de904f5,Red Pepper,0,0,1,440.0,55.844493,-4.268671,,0e94d2ad012bff0cf23497963ff5fd77
526c03ab11d2c398ec74106b,Lahore Kebab House,0,0,1,448.0,55.842226,-4.272384,,0e94d2ad012bff0cf23497963ff5fd77
522a317b11d268d86c069a70,3 Chef Hut,0,0,1,548.0,55.8534,-4.275986,,0e94d2ad012bff0cf23497963ff5fd77
51d0a26b498e3eb734e3b9f1,Anaya Glasgow,0,0,1,687.0,55.847057,-4.26437,,0e94d2ad012bff0cf23497963ff5fd77
4bd80fbf0b779c744d4706a0,LA Bartenders,0,0,1,722.0,55.852387,-4.2762,,0e94d2ad012bff0cf23497963ff5fd77
d518245c96e64cda1ce524ad,Cafe Unique,0,0,1,737.0,55.851268,-4.281947,,0e94d2ad012bff0cf23497963ff5fd77
