id,name,latitude,longitude,free_bikes,empty_slots,station_number,slots
90ca952e355fd4673ea26061d13d8841,Anniesland Library,55.890398,-4.324766,3,3,8214,8
90f4aed9eeacf63d2f1a9af8ba77d5bc,Battlefield - ELECTRIC,55.827395,-4.265319,2,7,8466,10
982a00e7910b5eaae622461281c86b53,Dalmarnock Railway Station - ELECTRIC,55.842561,-4.217704,5,3,8456,8
9b7e254f4f98c7ab070e5a9958d420ef,Glasgow Forge (Gallowgate),55.852705,-4.201594,4,4,8436,8
a087989280fd941fd9c41c3e787940ae,University of Strathclyde (North),55.862983,-4.241,1,1,8424,3
a1829c3fd840369355ada2949567d15a,Central Station - ELECTRIC,55.860776,-4.258597,1,12,8401,14
a19e9249f64251a331f70f78845241c9,Queen Margaret Drive / Maryhill Road,55.8849,-4.281414,0,8,8419,8
a5fe191b595724ce2fa7372b3ccca653,Kelvingrove Art Gallery - ELECTRIC,55.868352,-4.289405,0,9,8420,10
a8db8c24388d5d0ce7143678dfa0e676,Gorbals Library,55.848564,-4.250996,5,3,8215,8
a9d5888ec8ab5a638fbe933e0a5311de,Queens Park West,55.835042,-4.272346,5,3,8448,8
aa439d2a415edfcb198febf8bf3cd7a7,St Andrews Drive - Dalziel Drive,55.840988,-4.289947,5,1,8315,6
aaaa2f4104d5aac71e81537d91745779,Blythswood Square,55.863885,-4.263682,0,8,8484,8
ab5e5dc12c8217d4077ba0df3970feb5,Glasgow Green,55.84945,-4.23375,7,5,8412,12
abb478d282fc4352a662a4fb1308a544,Woodside (North) - ELECTRIC,55.875061,-4.270678,0,7,8465,8
abb4b8f19b7371a31a1773ddf19dac8c,Springfield Rd,55.848885,-4.20064,5,1,8204,6
ad008187b01147da4b6986fec9f25495,Bath Street,55.864132,-4.259101,0,6,8219,8
af1d0f25cbc75377878349fde4d86133,Merchant Square - ELECTRIC,55.858167,-4.245483,2,6,8407,8
af89fc71d4e9b25fd63a7ae8861f4c03,Hampden Park and Ride,55.827974,-4.247278,7,0,8316,4
b205037f7c8a72a7acf2af890570bb16,Riddrie South,55.867405,-4.192788,1,7,8212,8
b60e67062c32d2147f8892de3a446610,Anderston West,55.861585,-4.274518,1,7,8472,8
b98603df18dece74e168037c3fe67a2c,Sauchiehall Street,55.865291,-4.261756,0,7,8463,7
ba4133ab0ad5c5b405a541c5dfa5814f,Finnieston Street,55.863422,-4.280677,0,8,8438,8
ba6d3b1c4cafd1b3e29f950f613c4605,Queens Park Railway Station - ELECTRIC,55.834976,-4.265485,6,8,8447,8
bbf0e6792d57d47cb2e66509a3712d22,Govan Cross,55.863,-4.311378,4,4,8445,8
bc208a63ac25b883b9eb6e28bfff2f28,Shakespeare Street (Maryhill) - ELECTRIC,55.886934,-4.285022,2,4,8427,4
bfdb33b93e6a6a80f01c46a8284203e0,George Square - ELECTRIC,55.86155,-4.2494,0,10,8406,10
c04c3fc64f0ba6c420bd3184f474bfc9,University of Glasgow (West),55.872774,-4.292135,0,8,8422,8
c5fd8640b5ba2ad276663dac367fa293,Mount Florida Railway Station,55.827282,-4.259255,3,4,8467,4
c7102adc0e91f9d347ac0e230471e8bc,Carrick Quay,55.85476,-4.25164,4,4,8231,8
c8234c56f76f3f84d81c54ceedbdab54,Anderston Railway Station,55.859996,-4.270163,1,4,8312,6
caf64729d7f752ab99f5a2c600a089c6,St Andrews Drive @ Maxwell Drive,55.845518,-4.286476,3,4,8235,8
d1cfef68e6b380467d3f8927379319b3,Glasgow Cathedral - ELECTRIC,55.862973,-4.237745,2,4,8409,6
d204cd406e1b7af53252157f13d4df60,Burrell Collection,55.829914,-4.306877,6,0,8202,6
d33c72793e492060711833bcbbd2667e,King Street South,55.85586,-4.24695,0,8,8230,8
d609f2455b3dbc528814c140c6d86413,Gartnavel General Hospital,55.883971,-4.31046,2,4,8449,6
d80f772bb69ca8c783940446811dda56,Kelvinhaugh Street / Argyle Street - ELECTRIC,55.865222,-4.286127,5,2,8451,8
d9eacbf78518d186400386d90f0cf49c,Broomhill Cross,55.875865,-4.319601,3,7,8480,10
dd9ad2381ac6eb2e2826d3d8104297ec,Queen Street Railway ,55.862102,-4.252307,2,6,8740,10
e1d3e09da4969404a689700ed36b5d56,Partick Interchange ,55.869707,-4.308459,3,4,8423,8
e6e70fe059c3461f05eff24ccab6c09d,Ibrox,55.850987,-4.301448,6,2,8452,8
e7b590304d2ae958110e34961830ce68,Maryland Drive,55.846552,-4.332797,9,0,8209,10
e828a82c55b279cd1e7f5f9997d86d4b,Gallery of Modern Art - ELECTRIC,55.859716,-4.251945,1,11,8430,12
e90cf64c1ad4360e9827143bd9234ef8,Springfield Quay 1,55.855185,-4.273478,1,5,8461,6
e9411faefce1d3a87601ad2dae1d1efc,Hyndland Road ,55.876975,-4.306222,2,6,8232,8
eb47a36e3d5fe5bc456397413bd2aa75,Bridge Street Subway - ELECTRIC,55.8525,-4.25885,0,5,8432,5
ec3d6eba43f27b84b35067a84fbc00c9,Barrowlands - ELECTRIC,55.855152,-4.235294,7,3,8440,10
ed8440d874a0b4205ddbcc0bc56f3d49,Emirates Arena,55.846362,-4.208322,5,7,8428,12
ef89ae581497a99c0a1d61db38e53380,Paisley Road Toll - ELECTRIC ,55.85378,-4.279158,7,3,8443,10
f3ad8b8957d8be86ce18b8c9a43f02e1,Bellgrove Railway Station (North) - ELECTRIC ,55.858123,-4.224511,6,1,8439,6
f5ac5a0223f0c88e225aa7c4d63d55f5,Broomielaw West ,55.85658,-4.26887,6,2,8217,8
f6210447e1724487afe0ce63b011aecd,Knightswood Park,55.895974,-4.354877,1,9,8473,10
f66dbb6e5176c4419ad1be87ea0c300d,Speirs Wharf - ELECTRIC,55.870992,-4.260426,0,5,8459,7
f6b64fd82fe6e607f1fc788ace31c3a1,Fullarton,55.837175,-4.170209,6,6,8234,12
f806566ccd2263bd5dbb624cdd0fb7f3,Bridgeton,55.848939,-4.226823,7,0,8441,8
f93ab2c803d81c14f7e2f1765911de04,Charing Cross Railway Station,55.864563,-4.270055,1,7,8421,8
fa6bc682e8627d66891c2b6250c81b1e,Mitchell Library,55.864788,-4.271852,0,6,8425,6
faf9e8803c8d80741d74f98cb9ba8337,Cambridge Street - ELECTRIC,55.865063,-4.260291,0,6,8434,7
